n m R         V(n,m)
1 1 0.014599 0.0132236810277 
2 1 0.0437973 0.0462623944654 
2 2 0.0437973 0.307835799693 
3 1 0.0875946 0.0672002793049 
3 2 0.0875946 0.638607180919 
3 3 0.0875946 1.98874704933 
4 1 0.145991 0.096796635713 
4 2 0.145991 0.800423781867 
4 3 0.145991 3.32990215961 
4 4 0.145991 7.64747432071 
5 1 0.204387 0.105740371821 
5 2 0.204387 0.856424677139 
5 3 0.204387 3.05330847141 
5 4 0.204387 9.35694323153 
5 5 0.204387 14.7650377691 
6 1 0.291982 0.175632029836 
6 2 0.291982 1.41278534972 
6 3 0.291982 4.87797510694 
6 4 0.291982 12.43947062 
6 5 0.291982 23.6694764301 
6 6 0.291982 49.0649119138 
7 1 0.437974 0.338294472366 
7 2 0.437974 2.71232686228 
7 3 0.437974 9.23508382375 
7 4 0.437974 22.4510603261 
7 5 0.437974 35.5623551283 
7 6 0.437974 91.4809903932 
7 7 0.437974 209.545459204 
